"source","page","urls","row","order"
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/farm-life/is-an-agricultural-degree-worth-doing",1,1
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/business/business-management/agricultural-transition/defras-survey-reveals-lack-of-confidence-in-farming-schemes",2,2
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/farm-life/how-farmers-are-helping-to-educate-school-children-about-agriculture",3,3
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/business/business-management/agricultural-transition/transition-survey-reveals-depth-of-concern-over-policy-and-costs",4,4
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/arable/farmer-focus/farmer-focus-regenerative-agriculture-a-term-loathed-by-many",5,5
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/business/2023-extreme-weather-and-high-input-costs-take-toll-on-farming",6,6
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/business/project-shows-how-farming-can-hit-or-better-net-zero",7,7
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/farm-life/health-and-wellbeing/considering-a-new-future-ways-to-deal-with-farming-pressures",8,8
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/news/survey-how-has-farming-changed-for-women-in-the-past-10-years",9,9
"./googleresults/FarmersWeekly/search.html",0,"https://www.fwi.co.uk/business/business-management/farm-profit-forecasts-point-to-focus-on-fixed-costs",10,10
"./googleresults/FarmersWeekly/search (1).html",1,"https://www.fwi.co.uk/business/payments-schemes/defra-provides-clarity-on-farming-budget-spend",1,11
"./googleresults/FarmersWeekly/search (1).html",1,"https://www.fwi.co.uk/farm-life/opinion-own-your-mistakes-and-learn-from-others",2,12
"./googleresults/FarmersWeekly/search (1).html",1,"https://www.fwi.co.uk/news/farmers-weekly-podcast-ep-186-prospects-for-farming-in-2024",3,13
"./googleresults/FarmersWeekly/search (1).html",1,"https://www.fwi.co.uk/news/farm-policy/tips-to-survive-and-thrive-amid-falling-bps-payments",4,14
