"source","page","urls","row","order"
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/jan/27/farmers-union-called-uk-environment-targets-irrational-and-unachievable",1,1
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/jun/07/more-wildlife-friendly-farming-needed-to-stop-decline-of-insects-in-britain-says-report-aoe",2,2
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/apr/22/young-farmers-farm-land-cost",3,3
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/oct/25/uk-farmers-how-have-you-been-affected-by-recent-flooding",4,4
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/mar/04/country-diary-theres-only-one-topic-of-conversation-among-farmers-at-the-moment",5,5
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/lifeandstyle/2023/jan/22/readers-reply-why-is-the-surname-farmer-uncommon-when-there-were-so-many-farmers-for-so-long",6,6
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/jan/31/farmers-will-be-key-to-plan-to-restore-englands-green-spaces-and-wildlife",7,7
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/world/2023/sep/14/france-pushes-for-more-factory-farming-in-food-u-turn",8,8
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/environment/2023/may/29/rio-grande-valley-farmers-study-ancient-technique-cover-cropping-climate-crisis",9,9
"./googleresults/TheGuardian/farming/search.html",0,"https://www.theguardian.com/commentisfree/2023/mar/30/octopus-farming-turns-my-stomach-but-are-some-species-really-more-worthy-than-others",10,10
"./googleresults/TheGuardian/agriculture/search.html",0,"https://www.theguardian.com/environment/2023/aug/14/this-way-of-farming-is-really-sexy-the-rise-of-regenerative-agriculture",1,11
"./googleresults/TheGuardian/agriculture/search.html",0,"https://www.theguardian.com/politics/2023/dec/31/labour-pledges-new-deal-for-farmers-to-boost-uk-agriculture",2,12
"./googleresults/TheGuardian/agriculture/search.html",0,"https://www.theguardian.com/environment/2023/dec/17/cop28-sustainable-agriculture-food-greenhouse-gases",3,13
"./googleresults/TheGuardian/agriculture/search.html",0,"https://www.theguardian.com/australia-news/2023/sep/10/regenerative-agriculture-is-the-new-farming-buzzword-but-few-can-agree-on-what-it-means",4,14
"./googleresults/TheGuardian/agriculture/search.html",0,"https://www.theguardian.com/environment/2023/oct/20/impact-farming-climate-crisis-key-cop-topic-finally",5,15
"./googleresults/TheGuardian/agriculture/search.html",0,"https://www.theguardian.com/artanddesign/gallery/2023/oct/23/viticulture-the-uks-fastest-growing-agricultural-sector-in-pictures",6,16
