"source","page","urls","row","order"
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/news/2023/10/10/farming-subsidies-income-food-production-environment/",1,1
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/business/2023/09/19/british-farmers-struggling-survive-warn-celebrity-chefs/",2,2
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/global-health/climate-and-people/white-farmers-return-to-zimbabwe-agriculture-boost/",3,3
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/news/2023/07/29/farmers-going-green-inheritance-tax/",4,4
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/business/2023/03/09/british-farmers-have-two-options-go-green-go/",5,5
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/money/net-zero/british-farmers-swapping-sheep-solar-panels/",6,6
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/food-and-drink/sustainable-farming/leaf-marque-certification/",7,7
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/money/tax/inheritance/inheritance-tax-loophole-farm-buyers-rural-britain/",8,8
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/business/2023/12/26/england-farmers-selling-land-winemakers/",9,9
"./googleresults/TheTelegraph/search.html",0,"https://www.telegraph.co.uk/business/2023/05/31/ageing-farmers-pose-risk-britain-food-supply/",10,10
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/news/2023/03/25/many-british-farmers-suffering-planning-difficulties-jeremy/",1,11
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/news/2023/09/22/jeremy-clarkson-not-regular-farmer-tory-mp/",2,12
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/global-health/terror-and-security/farmers-struggle-sell-produce-ukraine-war-limits-global-fertiliser/",3,13
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/food-and-drink/features/could-vertical-farming-solve-food-crisis/",4,14
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/global-health/climate-and-people/genetic-breakthrough-promises-cheap-crop-costs-worlds-poorest/",5,15
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/business/2023/09/30/tesco-farmers-told-plant-more-crops-cope-climate-change/",6,16
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/news/2023/02/05/jeremy-clarkson-says-farming-mainly-filling-forms/",7,17
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/news/2023/12/26/uk-aid-global-agricultural-supplies-food-poverty/",8,18
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/world-news/2023/09/28/farmers-spain-tractors-animals-social-media-influencers/",9,19
"./googleresults/TheTelegraph/search (1).html",1,"https://www.telegraph.co.uk/news/2023/08/26/defra-england-hedgerows-agricultural-subsidies-cut/",10,20
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/business/2023/07/12/race-to-rewild-britain-is-putting-food-security-at-risk/",1,21
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/food-and-drink/sustainable-farming/tesco-suppliers-trial-low-carbon-fertiliser/",2,22
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/books/non-fiction/helen-rebanks-farming-life-the-farmers-wife/",3,23
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/business/2023/02/21/tories-have-abandoned-farmers-risk-losing-rural-vote/",4,24
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/global-health/climate-and-people/kenya-sustainable-farming-agriculture-africa-food-security/",5,25
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/news/2023/12/26/lady-carnarvon-happy-farmers-keep-environment-healthy/",6,26
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/radio/what-to-listen-to/archers-sybil-ruscoe/",7,27
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/environment/2023/09/17/royal-countryside-fund-changing-farmers-lives/",8,28
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/food-and-drink/features/the-british-dairy-farmer-shaking-up-the-milk-world/",9,29
"./googleresults/TheTelegraph/search (2).html",2,"https://www.telegraph.co.uk/business/2023/02/28/clarksons-farm-holds-mirror-cant-do-britain/",10,30
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/news/2023/11/12/jeremy-clarksons-farm-good-pig-farmer-kaleb-cooper/",1,31
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/environment/2023/11/22/is-sheep-farming-finished-on-dartmoor/",2,32
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/environment/2023/10/02/love-island-farmer-will-tiktok-farmtok-jessie/",3,33
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/news/2023/11/24/farmer-jailed-clearing-herefordshire-river-john-price/",4,34
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/tv/0/clarksons-farm-jeremy-clarkson-right-badgers-bureaucracy-killing/",5,35
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/global-health/science-and-disease/mink-farm-closures-pandemic-risk-coronavirus-covid/",6,36
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/world-news/2023/03/23/dutch-farmers-collision-course-brussels-compulsory-farm-buyouts/",7,37
"./googleresults/TheTelegraph/search (3).html",3,"https://www.telegraph.co.uk/business/2023/05/16/clarksons-kaleb-cooper-charlie-ireland-downing-street/",8,38
