"source","page","urls","row","order"
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/news/real-life-stories/i-spent-24-hours-farmer-29165941",1,1
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/money/couple-who-started-farming-one-29342203",2,2
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/tv/tv-news/tv-star-jimmy-doherty-calls-29015932",3,3
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/3am/celebrity-news/farmer-who-starred-bbcs-farming-28983944",4,4
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/news/uk-news/roman-kemp-regenerative-farming-practices-30561635",5,5
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/3am/celebrity-news/jeremy-clarkson-says-uk-needs-29996935",6,6
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/3am/celebrity-news/clarksons-farm-sensation-kaleb-cooper-29957993",7,7
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/tv/tv-news/clarkson-farms-kaleb-cooper-shares-31084801",8,8
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/news/uk-news/star-bbc-farming-show-avoids-30498070",9,9
"./googleresults/DailyMirror/farming/search.html",0,"https://www.mirror.co.uk/news/uk-news/channel-5-show-shines-light-31057057",10,10
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/news/uk-news/food-production-destroying-environment-simple-30834469",1,11
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/tv/tv-news/clarksons-farm-star-kaleb-cooper-29993549",5,15
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/news/world-news/putins-1billion-secret-weapon-against-31458889",6,16
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/news/uk-news/ai-critters-revealed-experts-hope-30902417",8,18
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/3am/celebrity-news/clarksons-farm-star-kaleb-cooper-30206767",9,19
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/3am/celebrity-news/jeremy-clarkson-hits-out-former-29314953",10,20
"./googleresults/DailyMirror/agriculture/search.html",0,"https://www.mirror.co.uk/news/world-news/plans-grow-food-moon-just-29293658",11,21
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/3am/celebrity-news/harry-potter-heartthrob-unrecognisable-crops-31016656",1,22
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/uk-news/vandals-destroy-allotment-kind-woman-29692139",2,23
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/lifestyle/gardening/garden-expert-reveals-five-vegetables-31538704",3,24
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/uk-news/warning-not-kill-slugs-snails-30039022",4,25
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/world-news/entire-crop-wiped-out-days-28982272",5,26
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/uk-news/warning-highly-invasive-beetle-found-30454773",7,28
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/uk-news/farmer-furious-more-1000-drivers-30803164",8,29
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/uk-news/truth-behind-crop-circles-finally-30553212",9,30
"./googleresults/DailyMirror/crops/search.html",0,"https://www.mirror.co.uk/news/uk-news/british-farmer-who-tried-warn-29338770",10,31
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/weird-news/image-shows-mythical-bloodsucking-creature-30176625",1,32
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/killer-cows-named-uks-most-30956262",2,33
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/two-walkers-rushed-hospital-after-31575189",3,34
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/man-crossing-road-dies-after-31395059",4,35
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/world-news/man-dies-after-trying-save-30753934",5,36
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/cow-attacks-leaving-people-widowed-30965401",6,37
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/horror-after-three-dogs-shot-31777579",7,38
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/man-caught-having-sex-cow-30828366",8,39
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/farmer-finds-newborn-lambs-disembowelled-29631252",9,40
"./googleresults/DailyMirror/livestock/search.html",0,"https://www.mirror.co.uk/news/uk-news/depraved-man-caught-having-sex-31670765",10,41
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/politics/out-touch-mps-dont-know-30030955",1,42
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/health/more-half-average-brit-diet-30800504",2,43
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/uk-news/inside-uks-food-desert-village-30800220",3,44
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/politics/supermarket-bosses-hauled-front-food-29317745",4,45
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/politics/jamie-oliver-calls-free-school-30852528",5,46
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/uk-news/rotten-meat-been-sold-customers-29587207",6,47
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/uk-news/animal-rights-activists-storm-high-30034274",7,48
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/sport/horse-racing/breaking-epsom-derby-protest-arrests-30145963",8,49
"./googleresults/DailyMirror/foodsystem/search.html",0,"https://www.mirror.co.uk/news/us-news/powerball-record-7546million-ticket-store-31613083",9,50
"./googleresults/DailyMirror/farming/search (1).html",1,"https://www.mirror.co.uk/tv/tv-news/kelly-brook-launches-tv-show-30856694",2,52
