"source","page","urls","row","order"
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/business/2023-extreme-weather-and-high-input-costs-take-toll-on-farming",1,1
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/business/business-management/15-fresh-ideas-for-making-money-or-cutting-costs-on-farm",2,2
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/farm-life/top-farming-safety-tips-from-farmers-weekly-readers",3,3
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/business/business-management/profits-squeeze-will-hasten-structural-change-in-farming",4,4
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/business/business-management/agricultural-transition/defras-survey-reveals-lack-of-confidence-in-farming-schemes",5,5
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/farm-life/health-and-wellbeing/considering-a-new-future-ways-to-deal-with-farming-pressures",6,6
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/business/project-shows-how-farming-can-hit-or-better-net-zero",7,7
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/arable/farmer-focus/farmer-focus-regenerative-agriculture-a-term-loathed-by-many",8,8
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/business/business-management/agricultural-transition/greener-pastures-9-recommendations-for-sustainable-farming-future",9,9
"./googleresults/FarmersWeekly/farming/search.html",0,"https://www.fwi.co.uk/farm-life/opinion-own-your-mistakes-and-learn-from-others",10,10
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/farm-life/is-an-agricultural-degree-worth-doing",2,12
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/business/markets-and-trends/outlook-2024-economy-and-profitability-for-agriculture",3,13
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/business/business-management/agricultural-transition",4,14
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/news/environment/what-next-for-irrigation-in-agriculture",5,15
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/regenerative-agriculture/regenerative-agriculture-what-does-the-evidence-say",6,16
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/business/business-management/7-trends-that-will-affect-farming-in-2023",7,17
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/news/new-awards-to-celebrate-women-in-agriculture",8,18
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/business/business-management/agricultural-transition/ms-select-farms-find-new-approaches-to-sustainable-agriculture",9,19
"./googleresults/FarmersWeekly/agriculture/search.html",0,"https://www.fwi.co.uk/careers/what-does-the-future-hold-for-agricultural-apprenticeships",10,20
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/other-crops/round-up-of-niche-crop-options-for-uk-growers",1,21
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/maize/maize-crops-perform-well-in-this-years-challenging-weather",2,22
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/how-key-spring-crop-choices-stack-up-for-harvest-2023",3,23
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/business/outlook-2024-large-shift-in-economics-of-combinable-cropping",4,24
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/livestock/grassland-management/maize-watch-mild-weather-helps-crops-to-mature-steadily",5,25
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/how-us-farmer-increases-profitability-through-relay-cropping",6,26
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/crop-management/nutrition-and-fertiliser/how-technology-lets-crops-turn-pollution-into-fertiliser",7,27
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/pulses/beans-make-reliable-and-low-input-break-crop-for-arable-farm",8,28
"./googleresults/FarmersWeekly/crops/search.html",0,"https://www.fwi.co.uk/arable/maize",9,29
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/business/markets-and-trends/meat-prices/laa-to-take-over-livestock-price-reporting-from-ahdb",1,30
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/whats-in-your-livestock-shed/whats-in-your-livestock-shed-new-calf-rearing-unit-eases-pressure",2,31
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/grassland-management/how-cattle-on-herbal-leys-have-transformed-essex-farm",3,32
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/news/crime/rural-crime-tsars-fury-after-livestock-worrying-act-dropped",4,33
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/health-welfare/steps-to-reduce-livestock-heat-stress-as-temperatures-soar",5,34
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/grassland-management/what-is-total-grazing-and-will-it-work-in-the-uk",6,35
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/dairy/calves-fed-more-milk-make-resilient-cows",7,36
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/farmers-sought-for-tick-borne-livestock-disease-risk-research",8,37
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/livestock/grassland-management",9,38
"./googleresults/FarmersWeekly/livestock/search.html",0,"https://www.fwi.co.uk/business/business-management/livestock-disease-insurance-what-to-look-for-in-policies",10,39
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/news/2023-what-made-the-farming-news-in-july-and-august",1,40
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/farm-life/kaleb-cooper-i-think-farming-chose-me-in-a-weird-way",2,41
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/farm-life/mind-your-head-tackles-mental-health-barriers-in-farming",3,42
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/news/farm-policy/tips-to-survive-and-thrive-amid-falling-bps-payments",4,43
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/regenerative-agriculture/how-six-farmers-hope-to-earn-regen-farming-premium",5,44
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/news/farmers-weekly-podcast-ep-186-prospects-for-farming-in-2024",6,45
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/news/survey-how-has-farming-changed-for-women-in-the-past-10-years",7,46
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/news/opinion/editors-view-its-no-bad-thing-to-reveal-realities-of-farming",8,47
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/business/business-management/agricultural-transition/libs-dems-demand-extra-1bn-a-year-for-farming",9,48
"./googleresults/FarmersWeekly/farming/search (1).html",1,"https://www.fwi.co.uk/news/opinion-organic-farming-has-a-place-but-its-complicated",10,49
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/business/how-lantra-can-help-solve-farmings-skills-shortage",1,50
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/business/markets-and-trends/crop-prices/revenue-up-by-almost-50-at-adm-agriculture-in-2022",2,51
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/business/grain-prices-help-profits-rise-to-39m-at-frontier-agriculture",3,52
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/regenerative-agriculture/margins-narrow-to-97-ha-for-regen-and-conventional-systems",4,53
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/careers/why-are-army-veterans-so-suited-to-a-career-in-agriculture",5,54
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/careers/agriculture-careers-on-show-at-new-scientist-live",6,55
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/business/payments-schemes/defra-provides-clarity-on-farming-budget-spend",7,56
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/sp/questiontime/rau-11-05-2023",8,57
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/business/markets-and-trends/input-prices",9,58
"./googleresults/FarmersWeekly/agriculture/search (1).html",1,"https://www.fwi.co.uk/arable/the-agri-demo-centre-and-farm-showcasing-sustainable-farming",10,59
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/gene-edited-crops-moves-closer-after-bill-gains-royal-assent",1,60
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/crop-management/weed-management/how-to-keep-potato-crops-free-from-weeds-this-spring",2,61
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/establishment/drilling",3,62
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/business/business-management/agricultural-transition/sustainability-is-more-than-no-till-and-cover-crops",4,63
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/crop-watch/crop-watch-sugar-beet-weeds-and-mosaic-virus-in-wheat",5,64
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/crop-management/weed-management/blackgrass/essex-farm-uses-borage-and-herbage-seed-to-fight-blackgrass",6,65
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/land-preparation/cover-crops/research-quantifies-role-of-cover-crops-in-carbon-capture",7,66
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/business/business-management/farm-profit-forecasts-point-to-focus-on-fixed-costs",8,67
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/crop-watch/crop-watch-slug-invasion-and-fewer-herbicides-for-winter-beans",9,68
"./googleresults/FarmersWeekly/crops/search (1).html",1,"https://www.fwi.co.uk/arable/wheat/herbal-leys-and-bi-crops-boost-wheat-milling-premium-on-organic-farm-1724270",10,69
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/news/farm-policy/new-legislation-seeks-to-ban-live-exports-from-britain",1,70
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/livestock/6-tips-for-livestock-farmers-preparing-for-red-tractor-audit",2,71
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/livestock/whats-in-your-livestock-shed/whats-in-your-livestock-shed-visits-a-1m-robotic-dairy",3,72
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/news/live-animal-exports-ban-proposed-in-kings-speech",4,73
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/business/business-management/agricultural-transition/net-zero-and-livestock-exploring-the-farmer-options",5,74
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/business/markets-and-trends/meat-prices/will-cultured-meat-kill-off-the-livestock-industry",6,75
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/livestock/dairy/4-ways-to-breed-your-dairy-cows-to-cut-feed-bills",7,76
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/livestock/livestock-farmer-focus/farmer-focus-crows-and-heat-give-forage-concerns",8,77
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/livestock/7-ways-to-prepare-grazing-herds-for-big-rain-events",9,78
"./googleresults/FarmersWeekly/livestock/search (1).html",1,"https://www.fwi.co.uk/livestock/youngstock-management/why-cow-minerals-are-vital-for-calf-health",10,79
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/nfu-warns-of-over-reliance-on-food-imports",1,80
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/have-uks-agri-tech-centres-achieved-and-whats-next",2,81
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/weather/farmers-warn-of-potato-and-veg-shortages-later-this-year",3,82
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/exclusive-mass-food-fraud-and-safety-scandal-engulfs-sector",4,83
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/shadow-minister-hints-labour-government-will-extend-farm-budget",6,85
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/business/payments-schemes/environmental-schemes/defra-seeks-to-unlock-more-private-finance-for-public-goods",7,86
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/eu-referendum/uk-growers-call-for-urgent-government-action-on-horticulture",8,87
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/labour-to-offer-more-slurry-infrastructure-cash-if-it-wins-power",9,88
"./googleresults/FarmersWeekly/foodsystem/search (1).html",1,"https://www.fwi.co.uk/news/opinion-farmers-cant-pay-for-societys-ecological-conscience",10,89
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/business/reasons-to-address-farming-succession-grow-stronger",2,91
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/news/environment/agroforestry-can-it-work-for-farming-as-well-as-environment",3,92
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/news/farm-policy/analysis-challenges-threaten-future-of-welsh-farming",4,93
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/regenerative-agriculture/how-a-large-scale-regen-system-is-working-at-dyson-farming",5,94
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/news/opinion/opinion-ive-become-a-heritage-farming-character-at-50",6,95
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/farm-life/charles-iii-advocate-of-traditional-family-farming-and-a-king",7,96
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/arable/glyphosate-critical-for-regenerative-farming-says-coffey",8,97
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/farm-life/top-tips-from-three-multitasking-farming-mums",9,98
"./googleresults/FarmersWeekly/farming/search (2).html",2,"https://www.fwi.co.uk/news/opinion-is-jeremy-clarkson-really-the-farming-ambassador-we-need",10,99
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/farm-life/young-farmers/fw-awards-2023-ag-student-of-the-year-finalists",1,100
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/business/future-proofing-agriculture-with-vertical-farming",2,101
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/news/farmers-shape-the-debate-at-farmers-weekly-question-time",5,104
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/business/business-management/health-and-safety/farming-fatalities-continue-to-blight-the-industry",6,105
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/business/what-the-cptpp-free-trade-bloc-could-mean-for-uk-agriculture",7,106
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/business/biodiversity-net-gain-what-farmers-should-consider",8,107
"./googleresults/FarmersWeekly/agriculture/search (2).html",2,"https://www.fwi.co.uk/regenerative-agriculture/financial-rewards-of-regen-farming-highlighted-at-groundswell",9,108
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/maize/why-grain-maize-is-key-break-crop-in-arable-farmers-rotation",1,110
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/crop-selection/market-opportunities/why-yorkshire-farmers-are-growing-miscanthus-and-hemp",2,111
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/sugar-beet/will-the-beet-moth-strike-again-in-crops-this-summer",3,112
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/other-crops/could-sunflowers-be-grown-on-more-uk-farms",4,113
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/crop-selection/rotations/insights-farmers-outline-their-rotation-tweaks-for-2023-24",5,114
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/livestock/sheep/forage-crops-nets-20-a-ewe-saving-for-lothian-flock",6,115
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/pulses/advice-for-winter-bean-crops-hit-with-chocolate-spot-disease",7,116
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/other-crops/an-insight-into-herbage-production-in-the-uk",8,117
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/crop-watch/crop-watch-wet-weather-ruins-cropping-and-herbicide-plans",9,118
"./googleresults/FarmersWeekly/crops/search (2).html",2,"https://www.fwi.co.uk/arable/osr/how-osr-variety-choice-helps-crops-survive-flea-beetle",10,119
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/4-successful-livestock-collaborations-to-learn-from",1,120
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/six-livestock-tech-developments-to-look-out-for",2,121
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/new-study-reaffirms-livestock-and-meat-benefits-to-society",3,122
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/sharing-livestock-machinery-advice-and-options",4,123
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/health-welfare/the-risks-of-dog-faeces-to-livestock-and-how-to-prevent-them",5,124
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/business/livestock-farmers-reminded-of-new-export-forms-from-december",6,125
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/farmers-weekly-awards-2023-livestock-adviser-of-the-year",7,126
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/health-welfare/livestock-diseases/emerging-livestock-diseases-another-unwanted-climate-change-effect",8,127
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/business/markets-and-trends/meat-prices/more-auctioneers-needed-for-thriving-livestock-markets",9,128
"./googleresults/FarmersWeekly/livestock/search (2).html",2,"https://www.fwi.co.uk/livestock/grassland-management/why-dairy-beef-is-set-to-beat-arable-returns",10,129
"./googleresults/FarmersWeekly/farming/search (3).html",3,"https://www.fwi.co.uk/business/farming-and-tree-planting-its-a-win-win-says-devon-farmer",1,130
"./googleresults/FarmersWeekly/farming/search (3).html",3,"https://www.fwi.co.uk/business/payments-schemes/elm/sustainable-farming-incentive-two-growers-weigh-up-the-pros-and-cons",2,131
"./googleresults/FarmersWeekly/farming/search (3).html",3,"https://www.fwi.co.uk/business/business-management/contract-farming-agreements-what-to-consider",3,132
"./googleresults/FarmersWeekly/farming/search (3).html",3,"https://www.fwi.co.uk/business/payments-schemes/elm/analysis-what-defras-elm-update-means-for-farmers",5,134
"./googleresults/FarmersWeekly/farming/search (3).html",3,"https://www.fwi.co.uk/business/business-management/agricultural-transition/farmers-turn-to-wildflowers-and-bird-cover-after-costly-harvest",9,138
"./googleresults/FarmersWeekly/agriculture/search (3).html",3,"https://www.fwi.co.uk/news/ukraine-war-the-impact-on-agriculture-one-year-on",1,140
"./googleresults/FarmersWeekly/agriculture/search (3).html",3,"https://www.fwi.co.uk/news/farm-policy/how-will-new-welsh-agriculture-act-affect-farmers",2,141
"./googleresults/FarmersWeekly/agriculture/search (3).html",3,"https://www.fwi.co.uk/farm-life/colleges/which-are-the-best-agricultural-universities-for-2024",5,144
"./googleresults/FarmersWeekly/agriculture/search (3).html",3,"https://www.fwi.co.uk/farm-life/how-farmers-are-helping-to-educate-school-children-about-agriculture",6,145
"./googleresults/FarmersWeekly/agriculture/search (3).html",3,"https://www.fwi.co.uk/regenerative-agriculture",7,146
"./googleresults/FarmersWeekly/agriculture/search (3).html",3,"https://www.fwi.co.uk/sp/questiontime/question-time",10,149
"./googleresults/FarmersWeekly/crops/search (3).html",3,"https://www.fwi.co.uk/arable/miscanthus-the-profitable-solution-for-flood-prone-fields",1,150
"./googleresults/FarmersWeekly/crops/search (3).html",3,"https://www.fwi.co.uk/arable/harvest/harvest-2023-early-spring-malting-barley-crops-show-promising-quality",2,151
"./googleresults/FarmersWeekly/crops/search (3).html",3,"https://www.fwi.co.uk/arable/other-crops/why-growers-should-consider-growing-borage-in-2023",3,152
"./googleresults/FarmersWeekly/crops/search (3).html",3,"https://www.fwi.co.uk/arable/crop-management/nutrition-and-fertiliser/how-two-arable-farmers-apply-manure-to-standing-crops",4,153
"./googleresults/FarmersWeekly/crops/search (3).html",3,"https://www.fwi.co.uk/arable/fsa-unveils-streamlined-approach-to-gene-edited-crops",5,154
