"source","page","urls","row","order"
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/business/2023/09/19/british-farmers-struggling-survive-warn-celebrity-chefs/",1,1
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/business/2023/07/12/race-to-rewild-britain-is-putting-food-security-at-risk/",2,2
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/food-and-drink/sustainable-farming/tesco-suppliers-trial-low-carbon-fertiliser/",3,3
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/environment/2023/10/02/love-island-farmer-will-tiktok-farmtok-jessie/",4,4
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/news/2023/11/27/cornwall-farming-fruit-picking-tajikistan-seasonal-workers/",5,5
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/business/2023/09/30/tesco-farmers-told-plant-more-crops-cope-climate-change/",6,6
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/books/non-fiction/helen-rebanks-farming-life-the-farmers-wife/",7,7
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/global-health/climate-and-people/white-farmers-return-to-zimbabwe-agriculture-boost/",8,8
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/business/2023/05/31/ageing-farmers-pose-risk-britain-food-supply/",9,9
"./googleresults/TheTelegraph/farming/search.html",0,"https://www.telegraph.co.uk/news/2023/12/26/lady-carnarvon-happy-farmers-keep-environment-healthy/",10,10
"./googleresults/TheTelegraph/agriculture/search.html",0,"https://www.telegraph.co.uk/global-health/climate-and-people/food-insecurity-science-cop-uk/",1,11
"./googleresults/TheTelegraph/agriculture/search.html",0,"https://www.telegraph.co.uk/news/2023/12/26/uk-aid-global-agricultural-supplies-food-poverty/",3,13
"./googleresults/TheTelegraph/agriculture/search.html",0,"https://www.telegraph.co.uk/global-health/climate-and-people/kenya-sustainable-farming-agriculture-africa-food-security/",4,14
