"page","title","url","text","lead_img","lead_caption","n_photos","subject_check","research_check"
1,"Climate change will prompt expansion of farming in northern wilderness","https://www.newscientist.com/article/2398603-climate-change-will-prompt-expansion-of-farming-in-northern-wilderness/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Environment

Climate change will prompt expansion of farming in northern wilderness

As the world warms, vast areas of wilderness in Russia, Canada and Alaska will become more suitable for farming, threatening the local wildlife

By James Dinneen

19 October 2023

Farmland in North Dakota – soon farmers may be expanding further north

tony Franzwa/Shutterstock

Farmland in North Dakota – soon farmers may be expanding further north

tony Franzwa/Shutterstock

Climate change is expanding the amount of land suitable for farming in colder regions. While farming such areas could offset declines in crop yields elsewhere, it would also pose a threat to wild places once protected from cultivation by the cold.

As the planet warms, researchers expect farmers will have to adapt to achieve crop yields sufficient to feed a growing global population. ""I would say that's inevitable,"" says Alexandra Gardner at the University of Exeter in the UK.

That could mean farming different crops, planting at different times, using more irrigation and fertiliser or growing in different places. One study found that with very high fossil fuel emissions, the world's bread baskets - regions responsible for producing a large proportion of our food – would need to shift toward the poles by around 600 kilometres before the end of the century to maintain current yields.

Advertisement



Read more

Cannabis has a shocking environmental cost - here's how to fix it

While that shift could help offset climate-related declines in yields nearer to the equator, it could also pose a threat to vast wilderness areas and the intact ecosystems they host.

Gardner and her colleagues modelled how climate change under different emissions scenarios would alter the areas appropriate for growing more than 1700 varieties of major crops, including potatoes, wheat and cotton. They then looked at where the newly suitable agricultural regions overlapped with ""wilderness"", defined as large spaces free from human pressures.

Sign up to our Fix the Planet newsletter

Get a dose of climate optimism delivered straight to your inbox every month.

They found that under a moderate emissions scenario, 1.85 million square kilometres of wilderness became newly-suited for at least one crop by mid-century. Under a very high emissions scenario, 2.75 million square kilometres of wilderness became farmable, amounting to 7 per cent of all the wilderness outside Antarctica.

This overlap disproportionately occurred in the northern hemisphere, both because of the large amount of wilderness remaining there as well as the more rapid warming in higher latitudes. Some of the largest overlaps occurred in Russia, Canada and Alaska.

Gardner says the models don't account for numerous other factors that would affect whether crops could actually be grown in these areas, such as soil quality or proximity to transportation networks. Uncertainties involved in modelling both future climate change and how particular crops will respond means the projections should be seen as a ""first pass"", she says.

But researchers say the pattern of overlap suggests a clear problem. “This is a real threat that vast areas in northern latitudes - very important for biodiversity, carbon balance, hydrological cycle, etc - will be under pressure for food production,"" says Matti Kummu at Aalto University in Finland, who wasn't involved with the research.

Climate-related declines in areas currently used for farming nearer the equator could exacerbate this pressure. Under both emission scenarios, the researchers found around 6 per cent of the land currently suitable for farming will become unsuitable for any crop by the middle of the century, and half of all land will see declines in the diversity of edible plants that would be able to grow there.

More efficient use of current agricultural land - for instance, by using less of it to raise livestock and encouraging consumers to shift towards a more plant-based diet - could help avoid this pressure. So would reducing emissions to mitigate climate change. But Elisabeth Moyer at the University of Chicago says adaptations on existing farmland probably won’t be enough to meet demand for food on their own. ""In the real world, unless the seed breeders save us, we’re going to have to let things move around.""



Journal reference

Current Biology DOI: https://doi.org/10.1016/j.cub.2023.09.013

Topics:

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

More from New Scientist

Explore the latest news, articles and features

Environment

COP28: When is the climate summit and why is it being held in Dubai?

News

Free

Environment

Twin ocean climate anomalies may trigger heat and drought in 2024

News

Subscriber-only

Environment

Cloud geoengineering could help us avoid major climate tipping points

News

Subscriber-only

Environment

Climate change will prompt expansion of farming in northern wilderness

News

Free

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/10/19160037/SEI_176598654.jpg?width=10000","Farmland in North Dakota – soon farmers may be expanding further north

tony Franzwa/Shutterstock",1,TRUE,TRUE
2,"Farming destroyed UK rivers to meet food demand - here's how we fix it","https://www.newscientist.com/article/mg25834440-900-farming-destroyed-uk-rivers-to-meet-food-demand-heres-how-we-fix-it/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Environment

Farming destroyed UK rivers to meet food demand - here's how we fix it

Rivers are awash with manure, fertiliser and pesticides from farming. This is more polluting even than sewage, so what can be done?

By Madeleine Cuff

20 June 2023

Manure from livestock releases nitrogen and phosphorus into many UK rivers, including the Till

Jim Gibson/Loop Images Ltd/Alamy

Manure from livestock releases nitrogen and phosphorus into many UK rivers, including the Till

Jim Gibson/Loop Images Ltd/Alamy

THE rolling English farmland of Dorset, Somerset and Devon might look like a bucolic idyll, but looks can be deceptive. These three counties in the country’s south-west are home to hundreds of intensive dairy farms, producing almost a quarter of the UK’s milk. Thousands of cows create a smelly problem for farmers: what to do with all the dung? As I drive along the winding country lanes, the stench drifting off nearby fields offers a clue.

My nostrils aside, it is local rivers that bear the brunt. In wet weather, slurry (manure plus water) overflows from silos where it is stored and runs off land into waterways, wreaking havoc on their ecology. The situation is particularly bad in the south-west, but this is a nationwide problem - and it isn’t the only damage that agriculture does to rivers. Over recent decades, pressure from supermarkets to provide plentiful food at low prices has pushed farmers to boost livestock numbers, use more fertilisers and pesticides to increase crop yields and remove hedgerows to make larger, more efficient fields. All these actions have knock-on effects, polluting watercourses with soil sludge, toxic chemicals and excess nutrients like nitrogen and phosphorus.

As in other countries, the UK has legislation to reduce the ecological damage caused by farming. But enforcing these rules isn’t always easy, even when environment agencies make them a priority. No wonder the UK’s rivers are in such a bad state. It sounds like the perfect storm, but, in my…

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Environment

Treated sewage released into rivers may hamper eel migrations

News

Subscriber-only

Video

Jim Murray: The 'activist angler' collecting data to improve rivers

Video

Free

Environment

Mass fish deaths will occur more often in rivers as UK gets hotter

News

Free

Environment

Farming destroyed UK rivers to meet food demand - here's how we fix it

Features

Subscriber-only

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/06/19121327/SEI_160325814.jpg?width=10000","Manure from livestock releases nitrogen and phosphorus into many UK rivers, including the Till

Jim Gibson/Loop Images Ltd/Alamy",1,TRUE,FALSE
3,"We already have ethical options for replacing industrial farming","https://www.newscientist.com/article/mg25834413-200-we-already-have-ethical-options-for-replacing-industrial-farming/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Leader and Environment

We already have ethical options for replacing industrial farming

The industrialised food system harms the environment and animal welfare, but new ways of farming are now addressing these issues and further change is coming



31 May 2023

Mary Kang/Bloomberg via Getty Images

THE industrialised food system is approaching a crossroads. Though it undoubtedly produces more than enough food, it is butting up against ethical and environmental limits. The system, especially factory farming, is doing great damage to the environment, biodiversity, water resources and animal welfare. It is also ultimately self-defeating as soils can’t sustain it for much longer - by some estimates we have just 60 harvests left.

But environmental and ethical concerns sometimes come into conflict. As the influential philosopher Peter Singer points out in our feature “Peter Singer on animal rights, octopus farms and why AI is speciesist”,…

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Environment

Spreading rock dust on farms boosts crop yields and captures CO2

News

Subscriber-only

Life

Salmon farms are increasingly being hit by mass die-offs

News

Free

Environment

If gene-edited meat eases the climate crisis, then we must embrace it

Leader

Subscriber-only

Life

The right microbes on plant roots can make your tea taste better

News

Free

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/05/31121056/SEI_158313689.jpg?width=10000","Mary Kang/Bloomberg via Getty Images",1,TRUE,FALSE
4,"Why you should never ever mention rewilding to a Welsh hill farmer","https://www.newscientist.com/article/mg25834450-100-why-you-should-never-ever-mention-rewilding-to-a-welsh-hill-farmer/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Columnist and Environment

Why you should never ever mention rewilding to a Welsh hill farmer

In the push to give nature and the climate a chance to thrive amid growing agricultural pressures, words like rewilding have become de rigueur among researchers. Just don't tell the farmers, says Graham Lawton

By Graham Lawton

28 June 2023

travellinglight/Getty Images

MY LATE uncle was a sheep farmer in north Wales and I have happy memories of visiting his farm in Snowdonia as a child. I wasn’t much interested in farming back then, but these days I find it fascinating. Producing enough food to feed a growing global population is one of the most destructive activities we impose on the natural world, a massive driver of climate change and a major threat to biodiversity.

“Biodiversity is, on average, faring very badly indeed,” says Andrew Bamford at the University of Cambridge. “And while other drivers of biodiversity’s decline often attract more attention, the greatest source of threat to…

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Physics

Physicists have worked out how to melt any material

News

Subscriber-only

Environment

Heatwaves now last much longer than they did in the 1980s

News

Free

Technology

Unprecedented GPS jamming attack affects 1600 aircraft over Europe

News

Subscriber-only

Health

Tooth loss linked to early signs of Alzheimer's disease

News

Subscriber-only

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/06/27231035/SEI_161474527.jpg?width=10000","travellinglight/Getty Images",1,TRUE,TRUE
5,"Pesticides in soya farming may be behind leukaemia deaths in Brazil","https://www.newscientist.com/article/2400794-pesticides-in-soya-farming-may-be-behind-leukaemia-deaths-in-brazil/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Health

Pesticides in soya farming may be behind leukaemia deaths in Brazil

The replacement of cow pastures with soya plantations in parts of Brazil has corresponded with an increase in leukaemia deaths among children, possibly due to pesticide exposure

By Christa LestÃ©-Lasserre

2 November 2023

Pesticide exposure from a rise in soya farming may have caused an increase in leukaemia deaths among children in Brazil

YASUYOSHI CHIBA/AFP via Getty Images

Pesticide exposure from a rise in soya farming may have caused an increase in leukaemia deaths among children in Brazil

YASUYOSHI CHIBA/AFP via Getty Images

­­More children have died of leukaemia since large soya plantations have gradually replaced cattle farms in parts of Brazil, suggesting that pesticide exposure could be involved. However, the number of deaths is low and the exact cause hasn’t been determined.

Over the past two decades, parts of the Amazon have experienced a 20-fold expansion of soya farming, with previously cleared cow pastures converted into croplands. In the Cerrado, a vast savannah region which neighbours the Amazon, such farming has tripled.

Southern Brazil has a long-standing soya farming industry, with a transition in land use taking place more recently in the north and centre of the country. Brazil overall uses more pesticides than anywhere else.

Advertisement

While carrying out agricultural research in the Amazon, Marin Skidmore at the University of Illinois Urbana-Champaign heard local people talking about a recent rise in childhood cancers, with previous research linking pesticide exposure to childhood leukaemia. ""I wanted to see whether this phenomenon that I was hearing about on the ground would really bear out in the data,"" she says.

Skidmore and her colleagues collected information about deaths due to lymphoid leukaemia in children under 10 years old - who usually develop a form of the condition called acute lymphoblastic leukaemia (ALL) - between 2004 and 2019 in rural areas of the Cerrado and Amazon, covering about 1.75 million square kilometres.

Healthcare workers in these places don’t necessarily report all lymphoid leukaemia diagnoses to government databases, says Skidmore. The researchers therefore focused on deaths, which were well documented, she says.

Sign up to our Health Check newsletter

Get the most essential health and fitness news in your inbox every Saturday.

They compared that information with data about land use and the location of people's homes relative to water sources and paediatric oncology centres.

The team found that for every 10 per cent increase in land used for soya farming, there were an additional 0.4 lymphoid leukaemia-related deaths of children under 5 years old per 10,000 people and an additional 0.21 such deaths for children under 10 per 10,000 people. A statistical analysis indicates this wasn’t a chance finding.

Death rates were higher in areas more than 100 kilometres away from a paediatric oncology centre. This makes sense, since ALL in particular is ""a highly treatable cancer"", says Skidmore.

Looking specifically at children who were born after the soya farming surge began in 2004, approximately half of the 226 deaths due to lymphoid leukaemia may not have occurred without the growth of that industry, she says.

Critically, the team found that lymphoid leukaemia-related death rates were especially associated with living downstream from a soya farm, which suggests the children, or their mothers during pregnancy, may have been consuming pesticide-laced water. Previous research has linked pesticide exposure during pregnancy to cancer in infants.

The results don’t prove that pesticides from soya farming caused the deaths, but “I buy it”, says Pablo MenÃ©ndez at the Josep Carreras Leukaemia Research Institute in Barcelona, Spain. Nevertheless, the number of lymphoid leukaemia-related deaths is very low overall, he says.



Read more

Experimental CRISPR technique has promise against aggressive leukaemia

Chensheng (Alex) Lu at Southwest University in Chongqing, China, says that while the correlation between the deaths and the soya farming expansion seems clear, the cause isn’t definite.

If the results are confirmed in further research, this will underline the importance of government-regulated pesticide policies, says Skidmore. These could include training protocols for anyone applying pesticides and access to competent healthcare to ensure early diagnoses and accessible treatment, especially for rural populations, she says.

Agricultural intensification, via widespread pesticide use, is probably going to be part of global food security strategies, says Skidmore, who is ""not advocating for a wholesale stop to these inputs"". ""I think, safety first - making sure public health is taken care of as we see potentially more intensification happening in regions that are potentially under-resourced or haven't seen these types of chemicals in the past,” she says.



Journal reference

PNAS DOI: 10.1073/pnas.2306003120

Topics:

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

More from New Scientist

Explore the latest news, articles and features

Health

Leukaemia drug shows promise at treating breast cancer once it spreads

News

Free

Health

Health Check newsletter: What do leukaemia cure claims really mean?

News

Free

Health

Pioneering leukaemia therapy still working well after 11 years

News

Free

Health

We may know why some childhood cancers resolve on their own

News

Free

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/11/02102034/SEI_1781204031.jpg?width=10000","Pesticide exposure from a rise in soya farming may have caused an increase in leukaemia deaths among children in Brazil

YASUYOSHI CHIBA/AFP via Getty Images",1,TRUE,TRUE
6,"Why I won't be buying sea-farmed salmon ever again","https://www.newscientist.com/article/2397929-why-i-wont-be-buying-sea-farmed-salmon-ever-again/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Columnist and Environment

Why I won't be buying sea-farmed salmon ever again

I knew there were problems with salmon reared in captivity at sea, but after witnessing the damage inflicted by life in an ocean pen, I will be voting with my shopping trolley, says Graham Lawton

By Graham Lawton

18 October 2023

An open-pen salmon farm run by the company Arnalax in ArnarfjÃ¶rÃ°ur, one of the West Fjords in north-west Iceland

Patagonia

An open-pen salmon farm run by the company Arnalax in ArnarfjÃ¶rÃ°ur, one of the West Fjords in north-west Iceland

Patagonia

WE PICKED the wrong day to take a small boat across a fjord in wild western Iceland. The weather was challenging, to say the least, with a heavy swell and lashing rain. We were trying to get out to a salmon farm to see it for ourselves, but were beaten back.

I was in the country on a press trip organised and funded by the outdoor clothing company Patagonia, which …

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Physics

Physicists have worked out how to melt any material

News

Subscriber-only

Environment

Heatwaves now last much longer than they did in the 1980s

News

Free

Technology

Unprecedented GPS jamming attack affects 1600 aircraft over Europe

News

Subscriber-only

Health

Tooth loss linked to early signs of Alzheimer's disease

News

Subscriber-only

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/10/17104259/SEI_175674314.jpg?width=10000","An open-pen salmon farm run by the company Arnalax in ArnarfjÃ¶rÃ°ur, one of the West Fjords in north-west Iceland

Patagonia",1,TRUE,FALSE
7,"Robots could make farms more biodiverse with precision crop planting","https://www.newscientist.com/article/2392564-robots-could-make-farms-more-biodiverse-with-precision-crop-planting/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Environment

Robots could make farms more biodiverse with precision crop planting

Autonomous farm machinery may enable farmers to scale up the benefits of plant interactions, according to research presented at New Scientist Live

By Matthew Sparkes

8 October 2023

An autonomous tractor at the Hands Free Farm in Shropshire, UK

Hands Free project Harper Adams University

An autonomous tractor at the Hands Free Farm in Shropshire, UK

Hands Free project Harper Adams University

Autonomous farm robots guided by GPS can plant and harvest multiple crops in close proximity, enabling beneficial interactions between different plants and potentially boosting biodiversity.

Strip cropping, which involves partitioning fields into narrow bands containing different plants, is a common farming practice. Now, robotic technology is making it possible to space crops closer together than ever before.

Kit Franklin at Harper Adams University, UK, who is working on trials of this method, says one can think of it as taking the diverse planting approach that an allotment gardener might and scaling it up massively with autonomous machinery. This could enable commercial farms to stop planting vast, non-biodiverse fields and reap the benefits of mingling plants with different needs and mutually beneficial habits, he says.

Advertisement

At New Scientist Live in London on 8 October, Franklin presented preliminary results from the latest experiments conducted on the Hands Free Farm at the Harper Adams University campus in Shropshire.

The robots are equipped with a seed drill that deposits crops in 2-metre-wide rows and a combine harvester that collects the plants once they reach maturity. This year, the university ran a trial with half a hectare of repeating rows of wheat, barley and beans.

“We’ve been able to plant those crops as separate strips and then tend them as separate crops, and then come back and harvest them as separate crops,” says Franklin. “With conventional farm machinery and conventional operational practices it’s very hard to do that. But with these small, very precise, autonomous machines… we can now actually maybe divide our fields up differently and start farming in a different geometry, which might be beneficial for crop growth, and also wider biodiversity and carbon capture and all those sorts of things.”

Sign up to our Fix the Planet newsletter

Get a dose of climate optimism delivered straight to your inbox every month.

Franklin says the crops have a beneficial impact on each other, with beans drawing nitrogen, which wheat and barley require to grow, down into the soil and storing it. “The one is potentially feeding the other,” he says.

Feeding the plants in this natural way reduces the need to spray artificial fertilisers, potentially reducing the carbon footprint and complexity of farming. Planting crops of varying heights, which are harvested at different times of year, can also increase the amount of sunlight each row receives, boosting growth, says Franklin.

Weeds were a problem in the trial crop because of a summer with variable weather, but the technology still proved successful. In the coming year, Franklin and his colleagues plan to plant winter crops, as well as the spring crops of beans, wheat and barley they tried this year. They aim to get an even wider range of plants from the same field and maximise the area’s the diversity and efficiency.



Read more

Robot gardener grows plants as well as humans do but uses less water

Felicity Crotty at the Royal Agricultural University in the UK, who is not involved in the project, says the approach could be beneficial for farmers and the environment. “You’re actually increasing your biodiversity on the farm, and also that potentially reduces pest pressure, because pests usually detect crops by certain smells or volatiles. So when they’re looking for something to eat they might miss it, because it will be hidden amongst the other crops,” she says.

But relatively small-scale experiments may not translate into industrial farming, says Crotty. “Whether it would be scalable across a 10-hectare field or a 100-hectare farm, I’m not totally convinced,” she says.

Topics:

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

More from New Scientist

Explore the latest news, articles and features

Environment

We already have ethical options for replacing industrial farming

Leader

Subscriber-only

Environment

Campaigners propose food alliance to reduce climate impact of farming

News

Subscriber-only

Environment

Future of UK farming up for grabs ahead of government land use plan

News

Subscriber-only

Life

Ecological toll of Japan's switch to farming revealed by 1850s maps

News

Free

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/09/27165416/SEI_173379913.jpg?width=10000","An autonomous tractor at the Hands Free Farm in Shropshire, UK

Hands Free project Harper Adams University",1,TRUE,TRUE
8,"Was the shift to farming really the worst mistake in human history?","https://www.newscientist.com/article/mg25734270-100-was-the-shift-to-farming-really-the-worst-mistake-in-human-history/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Columnist and Humans

Was the shift to farming really the worst mistake in human history?

The notion that our ancestors' shift from a hunter-gatherer lifestyle to farming was disastrous for our health is well established, but a new study should prompt a rethink, says Michael Marshall

By Michael Marshall

22 February 2023

Shutterstock/J. Lekavicius

This is an extract from the Our Human Story email newsletter. Sign up to receive it for free in your inbox every month.

STOP me if you have heard this one before: the transition to farming was a cataclysmic turn for the worse. Beginning around 12,000 years ago, some of our ancestors started cultivating crops, abandoning the egalitarian and sustainable hunter-gatherer lifestyle that had worked for hundreds of thousands of years. The result was poor health, limited diets, new diseases and unsustainable practices that have culminated with climate change and a sixth mass extinction.

This narrative has become well…

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Environment

Spreading rock dust on farms boosts crop yields and captures CO2

News

Subscriber-only

Humans

Ancient canoes hint at bustling trade in Mediterranean 7000 years ago

News

Free

Humans

Did the people of Easter Island independently invent writing?

News

Subscriber-only

Life

Salmon farms are increasingly being hit by mass die-offs

News

Free

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/02/21100853/SEI_144608675.jpg?width=10000","Shutterstock/J. Lekavicius",1,TRUE,TRUE
9,"Farmland could feed 20 billion people but it might wreck the planet","https://www.newscientist.com/article/2368195-farmland-could-feed-20-billion-people-but-it-might-wreck-the-planet/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Environment

Farmland could feed 20 billion people but it might wreck the planet

Reaching the maximum feeding capacity from current agricultural land would require a global shift to plant-based diets and vast amounts of industrial fertiliser, a study has found

By Madeleine Cuff

10 April 2023

Farmers planting rice in China

STR/AFP via Getty Images

Farmers planting rice in China

STR/AFP via Getty Images

Almost 20 billion people could be fed on the world's current agricultural land, according to new research, but doing so would push the planet’s ""feeding capacity"" to its limit and create huge biodiversity and climate change risks.

The global population hit 8 billion in 2022 and is predicted to reach 11 billion by the end of the century, according to the United Nations, meaning the question of how many people Earth could possibly feed will be crucial in the coming decades.

Feeding 20 billion people…

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Environment

Organic farms seem to trigger more pesticide use on conventional farms

News

Free

Environment

Why biodiversity offsetting is a contentious issue in conservation

Comment

Subscriber-only

Humans

Indigenous Australians have managed land with fire for 11,000 years

News

Free

Life

Why bioabundance is just as important as biodiversity

News

Subscriber-only

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/04/06161115/SEI_151095095.jpg?width=10000","Farmers planting rice in China

STR/AFP via Getty Images",1,TRUE,TRUE
10,"Vertical farm cuts energy use 75 per cent by using sunlight","https://www.newscientist.com/article/2367615-vertical-farm-cuts-energy-use-75-per-cent-by-using-sunlight/","Advertisement

Explore by section

Explore by subject

Explore our products and services

Environment

Vertical farm cuts energy use 75 per cent by using sunlight

A vertical farm built inside a greenhouse in Texas can produce hundreds of thousands of heads of lettuce with significantly less energy than usual

By James Dinneen

7 April 2023

Rows of lettuce growing in Eden Green's vertical farm in a greenhouse

Eden Green

Rows of lettuce growing in Eden Green's vertical farm in a greenhouse

Eden Green

Walking into the newest greenhouse run by vertical farming company Eden Green on the outskirts of Dallas, Texas, I am greeted by floor-to-ceiling walls of lettuce. The greenhouse is warm, bright with sunlight and busy with workers tending to the more than 300,000 heads of romaine, butterhead and red oak growing in hydroponic pots.

""It never stops growing,"" says Jake Portillo, the company's head grower, as he shows off the stringy taproots of a romaine almost…

Advertisement

Sign up to our weekly newsletter

Receive a weekly dose of discovery in your inbox! We'll also keep you up to date with New Scientist events and special offers.

To continue reading, subscribe today with our introductory offers

No commitment, cancel anytime*

Offer ends 2nd of July 2024.

*Cancel anytime within 14 days of payment to receive a refund on unserved issues.

Inclusive of applicable taxes (VAT)

Existing subscribers

Advertisement

More from New Scientist

Explore the latest news, articles and features

Life

Altered bioelectric genes give zebrafish wings like flying fish

News

Subscriber-only

Health

Contact lens senses UV light to tell you when it's time for sunscreen

News

Subscriber-only

Life

The garden dormouse glows under UV light - but we don't know why

News

Free

Environment

Vertical farm cuts energy use 75 per cent by using sunlight

News

Subscriber-only

Popular articles

Trending New Scientist articles

1

2

3

4

5

6

7

8

9

10

Advertisement

Download the app

Find us on social media

Subscriptions

Support

Tools

Legal and privacy

© Copyright New Scientist Ltd.","https://images.newscientist.com/wp-content/uploads/2023/04/03223714/SEI_149413585.jpg?width=10000","Rows of lettuce growing in Eden Greenâ€™s vertical farm in a greenhouse

Eden Green",1,TRUE,FALSE
